Specimen,SpeciesExpanded,Canine-Premolar contact R_X,Canine-Premolar contact R_Y,Canine-Premolar contact R_Z,Canine-Premolar contact L_X,Canine-Premolar contact L_Y,Canine-Premolar contact L_Z,Distal M3 R_X,Distal M3 R_Y,Distal M3 R_Z,Distal M3 L_X,Distal M3 L_Y,Distal M3 L_Z,Nasion_X,Nasion_Y,Nasion_Z,Nasospinale_X,Nasospinale_Y,Nasospinale_Z,Prosthion_X,Prosthion_Y,Prosthion_Z,Mid-orbit torus superior R_X,Mid-orbit torus superior R_Y,Mid-orbit torus superior R_Z,Mid-orbit torus inferior R_X,Mid-orbit torus inferior R_Y,Mid-orbit torus inferior R_Z,Dacryon R_X,Dacryon R_Y,Dacryon R_Z,Zygoorbitale R_X,Zygoorbitale R_Y,Zygoorbitale R_Z,Frontomalare Orb R_X,Frontomalare Orb R_Y,Frontomalare Orb R_Z,Infraorbital for.R_X,Infraorbital for.R_Y,Infraorbital for.R_Z,Zygomaxillare R_X,Zygomaxillare R_Y,Zygomaxillare R_Z,Alare R_X,Alare R_Y,Alare R_Z,Mid-orbit torus superior L_X,Mid-orbit torus superior L_Y,Mid-orbit torus superior L_Z,Mid-orbit torus inferior L_X,Mid-orbit torus inferior L_Y,Mid-orbit torus inferior L_Z,Dacryon L_X,Dacryon L_Y,Dacryon L_Z,Zygoorbitale L_X,Zygoorbitale L_Y,Zygoorbitale L_Z,Frontomalare Orb L_X,Frontomalare Orb L_Y,Frontomalare Orb L_Z,Infraorbital for. L_X,Infraorbital for. L_Y,Infraorbital for. L_Z,Zygomaxillare L_X,Zygomaxillare L_Y,Zygomaxillare L_Z,Alare L_X,Alare L_Y,Alare L_Z
Arago 21,H. heidelbergensis s.l.,9.6079,2.0419,1.046,9.2562,-1.3293,-2.8077,5.3333,1.0203,3.2337,5.0892,-3.0847,-0.9827,4.7347,4.5547,-4.9466,9.4349,1.9412,-2.348,10.6641,1.0736,-1.4534,3.7202,8.4149,-2.7702,4.626,7.5188,-2.3156,4.1272,4.5853,-3.2446,5.8715,5.5451,-0.4657,3.9345,7.4251,0.3121,7.087,4.4009,-0.209,6.3322,4.9829,2.7204,8.2021,3.2529,-1.4064,3.056,3.7902,-8.8103,4.1142,2.6505,-8.1661,4.2143,3.1437,-5.3761,5.556474576,0.443178614,-5.890544536,3.1516,0.1771,-8.2286,6.818041201,0.045039978,-4.840561651,5.852046927,-2.793308032,-5.547998601,8.069242946,1.101244318,-3.694243478
Bodo,H. heidelbergensis s.l.,-1.494,32.3174,13.1173,NA,NA,NA,-1.737579923,26.82862621,13.96105444,4.0988,27.181,14.346,1.755832565,28.63533903,5.389943267,1.278727906,31.94322718,10.44166107,1.141985608,33.33305601,12.83859436,-2.59989665,26.75064681,2.999794488,-2.617916329,27.61032307,3.999775572,0.011475584,27.77639699,6.261198053,-2.524893578,28.61275556,7.879150192,-4.529915339,26.18184134,5.670377926,-2.671835783,29.77992168,9.580352273,-5.688277902,28.38496451,10.7159448,-0.666908492,31.39530338,9.876860323,6.048796858,27.22021069,3.068224737,6.20868782,28.04767379,4.747016852,3.086685627,27.9962573,5.932692576,5.45581266,29.09459392,8.405527412,8.30933169,26.74903213,6.663728253,5.23797573,30.25747974,10.10205355,8.225060596,29.22498792,11.63361602,3.536739828,31.4037016,10.14391143
Broken Hill (Kabwe),H. heidelbergensis s.l.,10.92238766,26.09394587,14.4325207,16.40163737,25.97834047,14.35918254,10.82408954,21.11038234,14.36895997,16.77438052,21.12091355,14.292307,13.71414102,23.69270314,5.580018689,13.68608586,25.86187784,11.0195812,13.8615811,27.24993375,13.78093561,9.322157633,22.2709845,2.92442433,9.369168214,23.11428977,4.843182739,12.15651847,22.646288,6.972873585,9.903734584,23.10762653,8.704175265,7.457879632,21.36247396,6.503931507,10.17015615,23.71523391,10.41406853,8.455566185,22.23660597,11.70751595,12.14571694,25.09049567,10.23778902,17.47189144,22.39787153,2.605696593,17.58245246,23.02097442,4.79636372,15.12210667,22.73384364,6.667623558,17.37839716,23.048361,8.549226666,19.78170623,21.23757168,6.199616145,17.27248365,23.52940408,10.15687533,18.93194994,22.10277641,11.43405743,15.19850448,25.0830713,10.16353971
Dali,H. heidelbergensis s.l.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.12884589,22.39971606,6.863918774,18.41417116,23.10705683,11.2958041,NA,NA,NA,14.04091648,21.6338912,3.70454544,14.24355671,21.97945376,5.503645359,16.55324814,21.24069814,7.552959135,14.95768238,21.5407304,8.850996055,12.4798348,20.49242366,6.797650749,14.84628184,21.51134711,10.26165383,12.82218639,20.49072787,11.10501361,16.39404789,23.02133741,10.85917945,21.93474109,21.63728088,3.87989858,21.70310173,22.09931137,6.027370643,19.50898999,21.27940173,7.157466012,21.26565209,21.62245672,9.045984506,23.55823764,20.56985252,7.518399491,21.29045007,21.59483803,10.46085237,23.28433925,20.62627596,11.42841386,19.67017517,23.06378306,10.96044928
Petralona,H. heidelbergensis s.l.,17.77422632,23.64925873,15.18406816,21.81785987,20.22967838,15.39403972,13.68898017,19.90792676,14.92408988,19.36543326,15.46641297,15.62411566,19.10680764,19.98122209,6.175774212,20.1452571,21.89042837,12.37776444,20.41751922,22.49562012,14.73742755,14.89652978,21.82707794,3.877127574,15.24723535,22.28720825,5.311797773,17.13522565,20.30755311,7.790272027,15.63976822,22.08291991,8.948723094,12.87710851,22.31971865,6.804713093,16.04473766,22.93852009,10.81122042,13.36600559,22.85348582,12.31247393,18.30234079,22.576377,11.12440483,21.25396565,16.22751546,3.662405316,21.72077285,16.68751215,5.739976857,19.54791438,18.32623509,7.909870808,21.86985907,16.82067078,9.230547356,22.19936711,14.49569179,7.297844307,21.94408838,17.99277236,11.27330979,22.49292198,15.29108762,12.7461544,21.14906555,20.32266215,11.47370682
Sima Craneo 5,H. heidelbergensis s.l.,NA,NA,NA,NA,NA,NA,11.50262638,20.41948639,15.49338878,17.5884,20.5861,15.5288,14.43041788,24.71263889,8.582316722,14.42231613,25.76131927,14.02568137,14.5255906,25.94560887,16.63981729,10.77786716,24.0925007,6.318176015,10.89349047,24.03353019,7.638131711,12.77245102,23.58913328,9.984351008,10.85801619,23.65241444,10.90368815,9.017500595,22.43339924,8.65576396,10.88880175,23.78453273,12.78979725,8.705196739,21.68582291,13.41844213,12.63702604,25.19952894,13.15318014,18.21775754,24.29618672,6.361466424,18.09019285,24.23055832,7.680007084,16.10712045,23.70939599,9.87387759,18.05831933,23.83705965,10.95470759,20.03895923,22.73513985,8.7198944,18.04859249,23.9805503,12.83145785,20.28491902,21.97566807,13.41906222,16.22146199,25.29766204,13.17403686
Amud 1,H. neanderthalensis,17.30841469,23.4687927,17.88693578,21.00209843,21.05207173,17.87359492,14.12288757,21.06830055,16.95547442,19.68630214,17.20922701,16.74157035,19.48324809,23.02563175,9.225092847,19.37243321,22.65971833,15.38645845,19.64980272,23.24557182,18.04160922,15.64273703,23.896146,6.827354604,15.60405407,23.96139298,8.290608577,17.40779458,22.59693111,9.469043347,14.68918235,23.58492847,12.06446347,12.99095926,23.33794209,9.474649057,NA,NA,NA,12.52236415,23.00269127,14.35402319,NA,NA,NA,22.04408711,20.26356288,6.503048171,22.20570081,20.21034911,7.95464886,19.90049233,21.14549812,9.376549099,21.67177853,19.5734742,11.72669926,22.97777081,17.86998318,9.090819387,NA,NA,NA,22.84408348,17.52118126,14.02281584,NA,NA,NA
Apidima 2,early H. neanderthalensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.19960022,13.49721069,-4.294058609,-1.17287693,17.4264801,-8.589030457,-1.208959961,19.15186462,-10.30328674,-5.293789673,12.44221954,-2.327401733,-5.193052673,13.0981842,-2.897348022,-2.332540131,14.22714691,-4.055136871,-4.805165863,16.33445587,-4.762660217,-6.992556763,15.06268311,-2.352179337,-4.58752594,17.89576263,-6.393654633,-6.894986725,19.02515259,-4.715799713,-3.067821503,17.10909119,-7.743862152,3.094438362,12.30755463,-2.056317902,3.132180023,13.09973755,-2.721026611,0.008486176,14.68457031,-3.58274498,2.411075211,16.32791596,-4.737042999,4.472982788,14.97901154,-2.33957901,2.072401047,17.86148071,-6.495501709,4.641252136,18.95574646,-4.567526245,0.62290287,17.17808533,-7.707392883
Gibraltar 1,H. neanderthalensis,11.35686613,25.35630244,14.01113478,15.88055624,25.4195667,14.20961515,NA,NA,NA,NA,NA,NA,13.87209997,24.67125632,6.644301046,13.85175932,26.1343063,11.59122961,13.89680031,26.07658543,13.33554136,10.2757995,23.34303935,3.889476958,10.37404307,23.61464157,5.155098215,12.93914531,23.60640931,7.16765888,10.55335155,23.45210881,9.17658569,8.683224379,22.29328542,6.649726901,10.78321317,23.88675516,10.339284,8.753478733,22.31985283,10.83091476,12.22561934,25.29458069,10.3940016,17.6025044,23.51098447,3.916736349,17.63700658,23.88329863,5.35420405,15.09271647,23.69275559,7.137466026,17.30755737,23.5072204,9.191979625,19.29274737,22.45773656,6.788125457,17.19588386,23.86884061,10.55077265,18.91508742,22.30810143,11.1814297,15.62796013,25.29836945,10.99995603
Guattari 1,H. neanderthalensis,NA,NA,NA,NA,NA,NA,12.93350736,21.0540866,14.15487072,18.05430961,20.89136182,13.84639354,15.15465085,23.88196763,5.728602479,15.46668762,25.83242844,11.42205153,15.34781301,26.47799435,13.49096696,11.47646061,22.78478453,4.046525861,11.3845976,23.25453512,5.212940073,14.08684395,22.88898768,6.670768366,11.82716726,23.15495025,8.922364082,9.596362268,21.9906886,6.893681637,11.80946358,23.88856658,10.66577033,10.07659325,22.72713572,11.53941121,13.59581918,25.25012689,10.15771523,18.39515644,22.56492772,3.62974355,18.65576877,23.02347763,4.774924643,16.20000199,22.87240483,6.496309033,18.65583416,22.9379543,8.511005114,20.54909937,21.64264123,6.233888636,18.93789351,23.64861727,10.35400307,20.67702466,22.39028364,10.9008411,17.08392968,25.13428353,10.06219493
Krapina 3,early H. neanderthalensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.02212855,25.45196187,5.475125888,NA,NA,NA,NA,NA,NA,9.208885125,24.41703794,4.001477758,9.378695305,24.97819755,5.124979577,11.82392901,24.92584158,6.855249874,9.662791839,25.08433616,8.907443052,7.529914818,23.88086775,6.772783544,9.866528507,25.64010158,10.37064591,8.230047656,24.63785256,11.09960435,11.55919538,26.66951264,9.765055801,16.23395507,24.19587139,3.564496256,16.3008419,24.62532154,4.598303186,14.31316712,24.73389246,6.58105122,16.41749409,24.46122922,8.471452879,18.37141678,23.28077377,6.332404899,16.31388763,25.08454406,10.21378243,18.07433507,24.06913763,10.65312745,14.89399095,26.47685796,9.613809791
La Chapelle aux Saints,H. neanderthalensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.69900391,24.49275478,6.39422677,19.74051428,26.63227746,11.80719494,19.76634807,26.98413443,13.78609889,15.82312206,23.50135705,4.149310604,15.76765627,23.92736443,5.496975406,18.57202762,23.68057256,7.164517983,16.30588574,23.72723565,9.248998514,13.96924226,22.13041247,7.183394229,16.45712644,24.27030886,10.4569248,14.90916261,22.68532323,11.78450935,18.08761712,25.65598058,10.73746606,23.22346116,23.7402926,4.04734747,23.24983283,24.18245921,5.384226586,21.07652686,23.6315621,7.094667482,23.27280761,23.72722781,9.269602313,25.42195662,22.43714728,6.980408151,23.1180339,24.2160141,10.62618916,25.19607961,22.2939244,11.33407756,21.34338396,25.78402076,11.41278252
La Ferrassie 1,H. neanderthalensis,19.2435,28.641,14.7503,23.2663,27.4675,15.4457,17.1687,24.6747,15.4278,23.3456,23.3408,15.6895,20.20096643,26.03633429,6.370583389,20.91747051,28.18043455,12.55891083,21.14795318,28.81274015,13.95127304,16.64687036,25.06011411,4.240551729,16.00678548,25.3873839,5.774549257,18.93679032,25.19846057,7.304683393,17.08074791,25.18911589,9.673858703,14.20590297,24.13560175,7.967805211,16.79888923,26.04577132,10.76268126,15.02908781,24.46788254,12.64108051,18.9400886,27.42638057,11.09424105,23.88371153,24.42716324,3.987735046,23.89914249,24.81825816,5.478380832,21.87025201,24.94189323,7.202203867,23.8561145,24.59652666,9.437163484,25.75835656,22.93199815,7.143862436,24.35695602,25.38472532,10.49864267,25.95214064,23.51252708,12.25948723,22.31050517,27.37223837,11.31908763
Saccopastore 1,early H. neanderthalensis,11.92555049,22.73094593,14.64965346,NA,NA,NA,11.30982264,18.50069033,13.81429931,17.03108195,18.51853628,14.13012128,13.9360948,22.02219591,6.045262573,14.47335162,23.88239107,11.84186093,14.15690074,24.02042472,13.42674634,NA,NA,NA,NA,NA,NA,12.70124912,21.29787361,6.870535472,10.65799282,21.47065318,8.642873418,8.448322371,20.24750723,6.287789171,10.68202617,21.70975883,10.01504423,NA,NA,NA,12.64802467,23.20204608,10.58339358,NA,NA,NA,NA,NA,NA,15.49477346,21.30833942,6.928206672,17.10127528,21.39462554,8.649683151,19.77587465,20.28994539,6.521641986,17.15040362,21.50544425,10.31593842,NA,NA,NA,15.80467991,23.33593412,10.45374204
Shanidar 1,H. neanderthalensis,11.62335895,21.85542798,17.65559356,15.88286439,21.76071673,17.73487091,10.87385788,17.80870915,16.95795255,16.73633248,17.6303436,17.27989986,13.96784105,22.15996673,8.602508469,13.97835745,23.13084174,14.72159389,13.97226438,22.89276656,16.89743816,9.978173269,21.27888082,6.483953308,10.05831982,21.41271357,8.112337635,12.6388289,21.11026543,9.582851335,10.53917269,20.78322453,11.52969135,8.263520097,19.9102013,9.13585141,10.63482692,20.90219447,13.40097829,8.677577016,19.2580173,13.81162293,12.3492879,22.59638345,13.07301726,16.97736723,21.32275783,6.672285472,17.15208477,21.46678765,7.990097716,15.28604923,21.11070592,9.605673085,17.49159844,20.48826194,11.92030973,19.19570229,19.98237739,9.377703739,17.22552429,20.74256969,13.61376567,19.10567742,19.24468041,14.45138773,15.51498393,22.60307941,13.0353406
Shanidar 5,H. neanderthalensis,NA,NA,NA,18.5146,3.7848,9.2527,14.25795499,4.824248988,6.159039727,19.0867,4.8533,5.9924,16.9003,12.2916,11.1465,16.6511,6.1866,11.2895,16.5863,3.4456,11.1047,13.0572,14.6722,11.4528,13.1097,13.6038,11.3388,15.4915,12.1981,9.7615,13.3499,10.0065,10.1649,11.1353,12.9205,9.8065,13.3628,8.1974,10.6726,10.6845,8.154,8.8322,14.9681,7.7637,11.3823,20.1543,14.7261,11.3462,20.489,13.5336,11.0323,17.9368,12.316,10.4217,20.2373,9.9875,9.5027,22.2746,12.9391,9.3288,20.6131,7.9054,9.3436,22.79565441,8.226863921,8.414244721,18.70303705,7.786170373,11.25340753
Tabun C1,early H. neanderthalensis,13.26971142,22.55562985,12.14193522,17.79235763,20.82079512,11.84713589,10.77114008,19.43047325,11.74036949,17.21003878,16.46150602,12.16432083,NA,NA,NA,15.8875502,22.04723705,9.816713945,16.09879047,22.97746108,11.77255712,11.8304884,20.63371294,3.040328509,12.20534648,21.04760228,4.072730896,13.69996834,19.96156286,6.109474516,NA,NA,NA,10.27016382,21.02209074,5.552811493,NA,NA,NA,NA,NA,NA,13.80602964,21.79151001,8.866250466,18.25027645,17.69593933,2.997674859,18.46278702,18.08161017,4.107269918,16.33723434,18.74552318,6.283117945,NA,NA,NA,19.72732209,16.49197228,5.623320913,NA,NA,NA,NA,NA,NA,17.35740693,20.15397489,9.100081007
Abri Pataud,Upper Paleolithic H. sapiens,15.2872,27.6249,13.8893,20.0785,28.1978,14.0673,15.6215,23.8538,13.5557,20.3037,23.8316,13.926,18.38131162,27.15710605,7.666137055,17.96997697,28.72861149,12.29993829,17.80204139,29.1609348,13.56826791,14.84652854,26.48738774,6.250268738,14.9361509,26.4222286,6.674730465,17.19191137,26.61810852,8.290554384,15.18730915,27.14495135,9.717596052,13.31950872,25.51887359,7.857186206,15.47575825,26.99150232,10.55703042,13.05779886,26.20011456,11.71951458,16.79082273,28.13483071,11.23499289,21.54380472,26.8092227,6.583552436,21.44818155,26.74483662,7.00149045,19.42071995,26.73991587,8.154022492,20.95355939,27.12909786,10.10087406,23.14766636,25.78105339,8.442839735,20.69956074,27.19540112,10.9548124,23.042535,26.25093713,12.46264316,19.27563864,28.18033328,11.45516738
Chancelade,Upper Paleolithic H. sapiens,19.5583,3.791,14.3367,15.418,3.5517,14.4162,NA,NA,NA,NA,NA,NA,17.33395385,4.385597958,7.029994981,17.41956323,2.556318225,12.43695859,17.44023024,2.464747313,14.43140326,20.84149372,5.398412619,6.275917846,20.8685989,5.242547824,6.749360826,18.68599006,5.731249896,7.88228095,20.82174548,4.57838047,10.03842164,22.48227909,5.902925198,8.141802976,20.08276915,4.501131697,11.20067345,21.66867505,5.065184573,12.65764311,18.78097605,3.860650481,11.51472561,14.04719843,4.926236427,6.46818157,14.06558739,4.88620645,6.918156011,16.20252225,5.283499863,8.501086732,13.6892352,4.176254854,9.995339051,12.56531735,5.205904318,7.659248831,14.76437923,4.19733165,11.14053189,12.41113523,4.686868442,12.42646092,16.10357139,3.604643257,11.66271647
Cro Magnon 1,Upper Paleolithic H. sapiens,11.7952,28.6436,14.5115,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.14103714,27.89461695,7.559150396,14.05745773,28.64297651,12.68147035,14.04524538,29.70492506,13.9674628,10.51052402,27.21717494,6.790882929,10.6115751,27.18911572,7.340480263,13.18174557,27.25935788,8.501832544,10.23491302,27.24010609,10.11621227,8.839244938,26.0834076,8.4991647,10.98891763,27.31732275,11.11130791,9.027209496,26.67974791,12.81211283,12.87545931,28.33502404,11.6067081,17.85160868,27.29905722,6.913964336,17.81692677,27.35482685,7.455355731,15.34907256,27.22807671,8.502072646,17.6340333,27.384974,10.3142156,19.6429329,26.18443981,8.812329701,16.93881961,27.37679339,11.2585394,18.71687436,26.86946256,13.07141203,15.28239612,28.3159047,12.0046607
Cro-Magnon 2,Upper Paleolithic H. sapiens,11.2492,28.9211,14.4909,15.995,29.2293,14.466,NA,NA,NA,NA,NA,NA,13.3907353,29.12557607,7.306204023,13.50353353,29.62270431,12.91277177,13.44120535,30.01899325,14.18052967,10.0238184,28.03315777,7.023818811,10.04025557,28.04270707,7.380501991,12.24553786,28.24568348,8.328127128,9.564407652,28.17904754,10.77833301,8.463998253,26.7805868,8.909895022,10.71863258,28.20241393,11.5703881,8.855161647,27.0549023,13.16085229,12.06110404,29.24462325,12.34861014,16.64032669,28.49390019,6.627222506,16.61321348,28.43603106,6.957153662,14.75155522,28.21864394,8.27154144,17.32442884,28.82814566,10.36360995,18.34334163,27.76398183,7.786235689,16.30544028,28.38626232,11.70859046,18.4289781,27.92449714,12.27136373,14.75867878,29.44022052,12.33762925
Dolni Vestonice 13,Upper Paleolithic H. sapiens,14.2798,26.6914,15.1819,18.6673,26.4932,15.4267,13.734,22.3535,14.9023,18.7548,22.1751,15.2981,17.10460472,25.14699673,8.779586001,16.68504622,27.30365958,13.57123984,16.42010106,27.6462948,15.03077172,13.60201066,24.39054431,7.885364198,13.60852095,24.59263666,8.33416307,16.10365809,24.55377346,9.683859635,13.79596313,25.63720596,10.99540076,11.78142183,23.77604698,9.225226476,13.42069008,25.58265119,12.57492061,11.47600016,24.96098296,13.38835611,15.21134063,26.5388798,12.57648458,20.62644575,23.94762827,8.464159996,20.63860484,24.10987612,8.881130945,18.13322306,24.40358367,9.860720632,19.90868306,25.09854058,11.72859653,21.99427156,22.99355605,10.32155023,19.71971413,24.9781393,13.0093129,21.11128396,24.11824989,14.45242942,18.2231525,26.50223098,12.76350365
Dolni Vestonice 15,Upper Paleolithic H. sapiens,14.696,24.3214,14.4159,18.7118,24.76,14.5938,14.7392,20.2622,14.4114,19.1643,20.8886,14.3952,17.04987183,24.50516059,8.248051069,NA,NA,NA,16.82843677,25.21185204,13.18478147,13.24156115,23.87972398,7.603478551,13.2873115,23.9978469,7.945794987,15.58829092,23.50308768,9.431598102,14.1168008,23.59821071,11.00440641,11.99223524,22.67629781,9.073590922,13.87894696,22.90026817,12.46891665,12.00112632,22.60815161,13.14600508,15.66923121,24.38890881,12.1775963,20.6883923,23.95764186,7.774795135,20.6751265,24.00676837,8.207344214,18.14024933,23.51580992,9.266949211,19.32089988,23.55124997,11.16033555,22.01951682,22.69258105,9.435761564,19.45802884,22.84992365,12.63608132,21.28637354,22.5243634,13.42421666,17.86317617,24.50874617,11.91509643
Dolni Vestonice 16,Upper Paleolithic H. sapiens,14.9693,24.9965,15.9445,19.5105,25.2801,15.8419,14.347,21.0126,16.0843,19.6455,21.0667,15.9731,17.02617666,25.31199649,8.57622715,17.48437607,26.24497753,14.26142551,17.50454896,26.29346874,15.67251212,12.99759064,24.36559819,7.72635104,13.09467463,24.41489446,8.290271031,15.82770439,24.22534398,9.683394637,14.08570206,24.7414028,11.11055522,11.71183708,23.53389473,9.042797308,13.85840285,24.20428436,12.71383205,12.11321375,23.65102766,13.55538726,15.8938415,25.5437151,13.15629955,20.71649668,24.3811811,7.635698651,20.59627137,24.31180915,8.490072232,18.00247078,24.45808507,9.603162136,20.57608406,24.13525712,11.95992339,21.97414485,22.94745643,9.730162287,20.05419835,24.06102421,13.36716191,22.24997801,22.60421191,14.03110843,18.83647058,25.7147006,12.8191986
Dolni Vestonice 3,Upper Paleolithic H. sapiens,7.2321,25.3557,14.0387,10.8562,25.0089,14.0293,6.4151,21.4559,13.8293,10.8762,20.736,13.677,9.433944561,24.48330328,7.789860618,9.14835628,25.94171707,12.67542005,8.969145742,26.24488992,13.852392,5.98806441,24.27465745,6.891740603,6.102272568,24.28837459,7.273395154,8.269823315,23.92490399,8.457272556,6.729382757,24.75884541,10.14103709,4.870587144,23.78167194,7.793668929,6.237367876,24.55089373,11.42857985,4.155576909,23.61691414,11.86082731,7.94254371,25.6489587,11.89849708,12.62365205,23.34268766,7.342098598,12.6154359,23.33806437,7.743968428,10.22475868,23.75571429,8.783167954,11.94631894,24.41274442,10.39219622,13.8760236,23.18423497,8.227217956,11.80337416,24.0592103,11.78813599,14.17077789,22.95248757,12.34298946,10.6985773,25.46611844,12.03118089
Grimaldi,Upper Paleolithic H. sapiens,16.7317,2.571,5.9093,16.0696,-1.9759,4.87,11.8563,3.5055,6.8399,11.0757,-1.2781,5.0007,14.54940787,2.303236008,0.084021016,16.53679614,0.589316186,3.910998995,17.46886497,0.309909443,4.849165288,13.8680009,5.857687712,0.445155722,13.8762305,5.643948925,0.810105984,13.82009051,2.989704891,1.365301635,14.76223414,3.909516713,3.061603319,13.21686923,6.70404459,2.104973097,14.91090371,3.609035961,4.375922161,14.65450978,5.063374574,5.886860192,15.8713532,2.082111096,3.877608322,13.43462036,-0.632871791,-1.620220289,13.52224319,-0.847118302,-1.12673288,13.68863358,0.798966874,0.763615813,14.10516786,-0.957054034,1.759964976,12.80478932,-2.417470233,-0.438057221,14.06051302,-1.763692137,3.083104457,13.76595932,-3.416077614,3.038488941,15.48872997,-0.315109979,3.103003979
Hofmeyr,Upper Paleolithic H. sapiens,NA,NA,NA,NA,NA,NA,13.0841,22.5495,14.6774,17.27982734,23.57783289,14.79759715,14.68300027,25.99059865,7.862458515,14.00395123,27.62214759,13.00189281,14.11176664,28.49154881,15.00539419,11.55383379,24.91633285,6.340313573,11.62319181,24.80365186,7.155978945,13.54172638,24.96539118,8.833066745,11.10952393,25.04221709,10.13833865,9.83966183,23.00704629,7.734854062,11.2556277,24.84172357,11.23850311,8.946720941,23.40371905,12.12117093,12.9427824,26.87982327,12.12948892,17.99110309,26.49404637,6.524725322,17.93771934,26.35128254,7.336874447,16.03782785,25.49574857,8.953315417,18.1211277,26.76069453,10.33920365,20.01160253,25.28946603,8.243672351,18.02501657,26.50083644,11.43242926,20.68563858,26.28081618,12.45746171,15.54171434,27.51679679,12.20394186
Kanalda,Upper Paleolithic H. sapiens,10.6553,27.3686,14.974,15.1731,27.7481,15.4986,10.3901,22.6678,15.2244,16.3786,23.4359,15.575,13.09902269,26.11283708,8.245805946,12.96669914,27.49597582,13.20189044,12.74468079,28.34588694,14.65367731,9.087529228,25.00939083,6.868469019,9.242725247,25.13313219,7.608681158,12.21092883,24.87297231,9.050872284,10.08704067,25.18587372,10.39496507,7.972353455,23.69995843,8.643473056,10.21060302,25.11733279,11.85086011,8.323384863,24.20950784,12.89555564,11.65866504,26.40942305,12.05326408,16.61600965,26.06227241,6.593728727,16.58457083,26.04008199,7.819986235,14.2932331,25.28032082,9.30347057,16.24908535,25.90590049,10.62582837,18.59345417,24.79241047,8.798855557,16.11645233,25.90947357,12.06130987,18.40767463,25.49876868,13.06201166,14.6165921,26.91598527,12.45115222
Mladec 1,Upper Paleolithic H. sapiens,12.41460459,25.43531223,13.74590856,16.62272242,25.53046607,13.92484634,12.04067598,21.02499548,14.44118708,17.11589535,20.97588583,14.70005966,14.62745669,23.64070412,7.121140478,14.54062815,25.88818561,11.65415714,14.62986364,26.40726574,13.06687429,11.47873918,23.10738779,5.892767659,11.60283789,23.19010769,6.684213467,13.61285055,22.98547093,8.190031142,11.70236376,23.73355562,9.793414216,9.839873047,22.3633311,7.632669338,11.59779463,23.94257927,10.73752504,9.466122934,23.29859057,11.67270182,13.30482288,25.05695121,11.0079597,18.20371937,23.28160451,5.932665513,18.2011278,23.3828826,6.830612095,15.93655424,23.06847799,8.14973407,17.71142596,23.60100785,9.896165548,20.01730123,22.58227534,8.086145585,17.68797461,23.63178541,10.74942323,19.75217264,23.34892425,12.03544754,15.92034973,25.07381711,11.06631889
Mladec 2,Upper Paleolithic H. sapiens,11.83304628,24.71938452,11.7835415,16.13136638,24.66459088,11.89995757,11.85136614,20.83925759,13.30235119,16.31439079,20.70087558,12.99589868,13.61018271,22.17018182,6.052657773,NA,NA,NA,14.11699224,25.27203527,10.83620307,9.791898736,21.48142317,5.134129963,9.945967293,21.60689086,5.508017778,12.36279243,21.59779991,7.222331095,10.15546153,22.89851851,8.800698996,NA,NA,NA,10.84714086,22.86878679,9.910699072,9.088141661,22.73991076,11.02132675,12.4584455,23.80367405,9.349174228,17.05123045,21.78010147,4.796042358,17.1696423,21.84424283,5.201879675,14.99140095,21.69109318,7.151280019,17.68820095,23.00678338,8.528266728,NA,NA,NA,17.07963505,22.95836379,9.685292027,18.91722636,22.88118004,10.66584388,15.40581583,23.84603536,9.242578374
Muierii 1,Upper Paleolithic H. sapiens,-5.241,8.8678,-2.564,-4.6088,5.0924,-4.7259,-1.6557,9.9797,-3.064,-0.8837,5.8364,-5.3758,-3.49717708,4.706526768,1.960846968,-4.831733445,6.160071627,-1.957206326,-5.870202612,6.61583982,-3.09744222,-2.447568343,8.207482432,3.940568038,-2.594360066,8.277644011,3.553757021,-3.054128004,6.520092306,1.192562552,-2.979200773,8.713757316,0.438538392,-2.034742035,9.956465573,3.129801764,-3.652537438,8.83064724,-0.264553486,-3.639245887,11.18780842,-0.457587338,-4.406943196,7.200468049,-0.883320671,-2.316232838,1.03847648,0.933542934,-2.438446224,1.32961222,0.476709169,-2.771721362,3.954442778,0.365642883,-2.878747867,3.065986941,-2.060368832,-1.783889983,0.447423374,-1.195495505,-2.691284413,3.700031988,-3.088608785,-3.476655729,2.046491195,-4.502246049,-4.131675313,4.905333301,-2.157264101
