Specimen,SpeciesExpanded,Inion_X,Inion_Y,Inion_Z,Asterion R_X,Asterion R_Y,Asterion R_Z,Asterion L_X,Asterion L_Y,Asterion L_Z,Lambda_X,Lambda_Y,Lambda_Z,Stylomastoid For. R_X,Stylomastoid For. R_Y,Stylomastoid For. R_Z,Porion R_X,Porion R_Y,Porion R_Z,Auriculare R_X,Auriculare R_Y,Auriculare R_Z,Parietal Notch R_X,Parietal Notch R_Y,Parietal Notch R_Z,Mastoidiale R_X,Mastoidiale R_Y,Mastoidiale R_Z,Lat. Glenoid R_X,Lat. Glenoid R_Y,Lat. Glenoid R_Z,Stylomastoid For. L_X,Stylomastoid For. L_Y,Stylomastoid For. L_Z,Porion L_X,Porion L_Y,Porion L_Z,Auriculare L_X,Auriculare L_Y,Auriculare L_Z,Parietal Notch L_X,Parietal Notch L_Y,Parietal Notch L_Z,Mastoidiale L_X,Mastoidiale L_Y,Mastoidiale L_Z,Lat. Glenoid L_X,Lat. Glenoid L_Y,Lat. Glenoid L_Z,Bregma_X,Bregma_Y,Bregma_Z,Post-toral sulcus_X,Post-toral sulcus_Y,Post-toral sulcus_Z,Glabella_X,Glabella_Y,Glabella_Z,Stephanion R_X,Stephanion R_Y,Stephanion R_Z,Stephanion L_X,Stephanion L_Y,Stephanion L_Z
Kanalda,Upper Paleolithic H. sapiens,14.9924,8.996,13.8525,8.7001,11.4786,12.1486,20.4392,12.8171,12.1174,14.926,8.0234,7.3647,9.6416,16.4382,13.7785,7.7973,16.393,12.098,7.5269,16.3834,11.7029,7.6583,12.9503,11.9681,NA,NA,NA,7.405,17.8176,12.3537,18.6134,17.3131,13.779,20.297,17.7947,12.0471,20.5474,17.727,11.8444,21.1472,14.932,11.7447,NA,NA,NA,20.2549,19.3379,12.5237,14.04439495,17.49103725,0.072871548,13.11422014,25.97514711,6.024267606,13.03682548,26.44862658,7.489591855,9.409335233,18.208512,2.18087193,18.37577738,19.34744977,2.299113869
Lau bassa,Upper Paleolithic H. sapiens,21.1403,12.9456,10.1556,16.3633,14.5784,11.2476,26.0035,16.5687,11.7046,21.0552,13.9796,3.5378,17.2349,19.5964,12.9718,16.1539,18.8069,13.1347,15.7936,18.8446,12.9936,15.2283,17.3523,12.0224,16.74845612,17.60549915,14.40224586,15.81168584,20.79641502,13.23226834,24.6757,19.1552,12.8001,26.3106,20.0565,12.0922,26.6339,20.0729,11.8127,27.268,17.9993,10.0154,25.9685,18.4862,13.6922,26.0994,21.7791,12.44,18.8354868,25.09458632,2.279710454,NA,NA,NA,NA,NA,NA,15.16646921,24.13108432,4.968789869,25.67377431,25.78719752,6.533945404
Mladec 1,Upper Paleolithic H. sapiens,14.5154,7.7545,14.6364,8.9847,10.1713,12.6662,20.0537,10.0836,12.7374,14.5667,5.4266,7.3474,NA,NA,NA,8.8626,15.6547,11.9984,8.2027,15.7296,11.6723,8.2106,11.6629,11.8264,9.09782571,14.63856149,14.6427944,8.107,17.4227,11.7708,NA,NA,NA,20.7806,15.2966,11.632,21.1941,15.3834,11.2387,21.2001,11.8728,11.676,20.1482,14.5693,14.7115,20.9512,17.2296,11.5997,14.57893609,14.80811684,-0.015182112,14.86724189,23.66489903,4.778387028,14.68626411,23.85594017,6.408740325,8.528423598,17.05673493,3.383169189,20.88782656,16.97926871,3.460013667
Mladec 2,Upper Paleolithic H. sapiens,NA,NA,NA,8.7787,10.2783,12.523,20.3404,9.7414,11.2723,14.0715,5.36,7.3029,10.1259,14.5841,12.3267,8.5508,14.7217,11.3845,7.7627,14.6598,11.0569,7.7164,11.4969,11.9296,8.000417065,13.63547134,13.89610196,7.5767,16.1576,10.8541,18.769,14.0818,12.5888,20.5471,14.1834,11.1654,21.0193,14.1794,10.7531,21.2293,11.1288,10.7438,20.4706,13.8147,13.4451,20.637,15.8551,11.2278,13.73684799,13.85115779,0.552352699,13.52786836,21.7640601,3.662876419,13.62761611,22.34172413,5.227414122,8.562494702,14.74907659,2.478512788,19.0347021,15.54522971,2.832140006
Mladec 5,Upper Paleolithic H. sapiens,9.4857,8.865,10.5612,3.6065,12.5465,10.7307,15.2401,11.9843,10.4824,9.9008,10.2011,3.8319,4.1221,16.5948,13.2116,2.6577,17.0791,11.497,2.2109,17.1492,11.0704,2.6905,14.3805,9.9703,3.5635,15.8012,14.325,2.0488,18.8129,12.0396,13.2751,16.7447,12.1261,15.8038,17.0047,11.3499,16.1995,17.0416,11.2319,16.4591,14.096,10.3654,15.06294068,15.56454385,14.33994547,16.70619873,18.51125372,12.05864977,9.991648877,21.61274583,0.83825237,9.768480077,28.43317127,7.942785475,9.786019054,28.64167236,9.81951723,4.424587668,22.07929735,3.12081978,15.10707159,21.01708948,2.376657688
Mladec 6,Upper Paleolithic H. sapiens,13.555,2.451,12.429,8.424,4.686,12.384,18.674,6.638,11.269,13.622,3.129,5.721,NA,NA,NA,8.569,9.989,13.487,8.3,10.098,13.265,7.83,7.352,12.211,9.032,8.145,15.789,NA,NA,NA,NA,NA,NA,18.991,11.267,12.691,19.32,11.317,12.607,20.073,8.765,11.032,17.951,9.627,15.13,NA,NA,NA,12.50868609,13.82129816,0.631953506,12.13090187,21.72559962,7.945767482,12.42382379,22.35150571,8.887406042,7.001328531,14.26043202,3.478059204,17.5533001,15.4305704,3.265211367
Oase 2,Upper Paleolithic H. sapiens,12.6822,6.9247,-7.918,10.4108,11.7854,-4.2652,9.4251,1.5577,-8.0829,15.8238,4.7124,-2.9766,5.543084393,11.24173841,-4.517127773,5.5932,12.2774,-2.5754,5.6914,12.334,-2.2526,9.044922726,12.12669009,-2.539082229,5.714425898,12.64589796,-5.12807761,4.03302893,12.28425891,-1.643879554,4.5204,2.8671,-7.7358,4.3036,0.8406,-6.5749,4.381,0.5617,-6.4106,7.5868,0.1863,-7.1282,4.4417,2.2237,-9.1337,2.5981,0.5338,-6.16,8.003043582,2.031193266,5.837264755,-0.954194518,4.043098101,3.550718759,-2.544600988,4.646403054,2.218512531,6.15506031,7.313776708,5.845550311,5.105168064,-1.28366352,2.5412474
Ohalo II,Upper Paleolithic H. sapiens,12.8328,5.5566,-6.6924,11.1906,10.3244,-2.9173,8.3488,1.0133,-7.1949,15.0377,2.4721,-0.8386,7.5045,10.6905,-4.078,7.3749,11.4124,-1.2693,7.3868,11.5351,-0.7743,10.316,10.9356,-1.7935,7.6807,11.9226,-4.6771,5.8943,12.1114,-0.8995,4.7489,3.4299,-6.4868,4.1321,1.2289,-5.9784,4.1604,0.6741,-5.9867,7.1576,0.2602,-6.7279,4.821,3.3637,-8.6966,2.4761,1.4951,-5.9934,6.904,1.0248,6.4185,-1.5159,4.92,3.2264,-1.845,5.4358,1.9987,7.249005292,6.829546478,6.977675661,4.3964,-2.562,2.4831
Pavlov 1,Upper Paleolithic H. sapiens,12.2005,6.3873,12.055,6.3668,9.7307,11.6444,17.2885,10.4927,11.6337,11.9412,6.7226,5.0772,7.751909014,13.96640969,13.68175775,6.000780015,14.46790733,12.70598151,5.590826085,14.53909387,12.4465502,5.716559636,11.87938684,11.50175486,6.896586669,13.04252302,15.54148541,5.53038095,16.15293209,13.28638712,15.854,14.3337,13.5845,17.5287,14.9905,12.5676,17.9242,15.0982,12.2985,18.017,12.437,11.3541,16.8337,13.493,15.4222,17.8585,16.7118,13.1384,11.46040756,17.02606316,0.711290718,11.21903096,24.99053581,8.147770796,11.30143792,25.60656198,9.760578462,5.828835329,18.02354387,4.366970194,17.15181905,18.80246356,4.61798632
Predmost 3,Upper Paleolithic H. sapiens,13.7997,3.4157,12.4956,7.8255,5.917,11.6715,18.8563,6.3729,11.6069,13.6219,3.5536,5.1345,8.6605,10.456,13.4094,7.0566,11.2842,12.3363,6.471,11.4338,11.6689,6.1189,8.0885,10.9752,7.2228,9.2987,14.9362,6.654,13.2859,12.8374,18.1179,11.0862,13.3551,20.122,12.0197,12.4128,20.5965,12.0647,11.7924,20.5743,8.4601,11.2864,19.2798,10.3264,15.2581,20.1856,14.1396,13.0413,13.40261263,14.17167127,0.382233918,13.44669272,21.61936542,7.405310236,13.1679919,22.35644864,8.950381649,6.89235714,15.08411324,4.495079136,18.94425719,14.61977011,3.505120254
